monthly_mobile_spend_naira,post_harvest_loss_perc,distance_to_market_km,distance_to_bank_km,percentage_sold_unprocessed,percentage_consumed,income_per_capita_ngn,annual_farm_revenue_ngn,annual_farm_yield_tons_per_ha,farm_size_ha,farming_experience_years,age,education_category,primary_crop,mobile_money_usage_frequency,creditworthiness_category,mobile_money_activity_score_1_10,cooperative_repayment_rate_percent,prior_loan_repayment_rate,has_off_farm_income,credit_score,gender,has_land_title,has_weather_insurance,smartphone_owner,cooperative_member,has_prior_loan,household_size
1047,16.66,27.3,147.5,20.5,27.2,263000.0,1841000.0,1.2,2.19,18,34,No Formal Education,Rubber,Monthly,Fair,9,0,0.0,False,591,Female,False,False,True,False,False,7
1008,16.08,43.2,12.3,26.5,42.0,564500.0,2258000.0,10.63,1.77,42,61,No Formal Education,Cassava,Never,Very Poor,1,66,0.49,False,462,Male,False,False,False,True,True,4
3062,38.58,4.5,5.5,22.4,33.1,3284500.0,13138000.0,14.35,3.27,6,22,Primary Complete,Yam,Rarely,Fair,3,0,0.0,False,574,Male,False,False,True,False,False,4
512,39.96,37.1,48.4,17.0,25.0,452400.0,2262000.0,10.77,0.75,10,45,No Formal Education,Yam,Never,Good,1,83,0.0,False,636,Male,False,False,False,True,False,5
984,34.22,52.5,36.6,18.1,27.7,322750.0,1291000.0,8.09,0.57,37,60,Primary Complete,Yam,Never,Poor,1,0,0.73,False,531,Female,False,False,False,False,True,4
4665,28.25,10.8,111.3,24.9,28.3,14200.0,88000.0,0.74,0.3,4,64,No Formal Education,Cowpea,Rarely,Poor,5,73,0.0,True,554,Female,False,False,True,True,False,10
1072,35.61,40.4,21.3,28.3,20.9,1026667.0,6160000.0,17.66,1.09,4,20,Primary Complete,Vegetables,Never,Poor,1,68,0.0,False,548,Female,False,False,False,True,False,6
2844,14.34,39.3,83.1,22.9,26.1,258750.0,976000.0,1.89,2.58,1,16,No Formal Education,Maize,Monthly,Good,3,0,0.0,True,654,Male,False,False,True,False,False,4
377,42.91,69.1,65.4,22.9,34.9,1353800.0,6510000.0,12.5,1.86,28,52,OND/NCE,Yam,Never,Fair,1,64,0.0,True,594,Male,False,False,False,True,False,5
767,37.92,68.1,21.3,17.7,27.0,41250.0,288000.0,1.38,0.52,13,29,Primary Complete,Beans,Never,Fair,1,0,0.0,True,593,Male,False,False,False,False,False,12
2716,38.27,2.8,80.4,7.2,17.9,271857.0,1668000.0,2.44,3.6,12,57,Secondary Complete,Sorghum,Monthly,Very Good,8,0,0.0,True,677,Male,False,False,True,False,False,7
3097,44.55,7.4,16.9,22.6,39.3,28214.0,395000.0,13.69,0.24,5,21,Primary Complete,Cassava,Monthly,Poor,8,0,0.0,False,551,Female,False,False,True,False,False,14
397,14.18,47.7,57.3,6.6,18.9,186429.0,1224000.0,1.92,3.54,4,20,Primary Incomplete,Millet,Never,Good,1,82,0.79,True,644,Male,False,False,False,True,True,7
5200,18.74,12.7,94.9,22.0,25.3,111462.0,1228000.0,1.03,2.98,2,30,Secondary Complete,Cowpea,Never,Good,1,66,0.74,True,643,Male,False,False,True,True,True,13
5553,39.55,18.7,84.7,18.2,27.0,725333.0,2176000.0,1.06,5.13,24,40,Secondary Complete,Cowpea,Weekly,Good,5,0,0.6,False,648,Male,False,False,True,False,True,3
263,20.86,38.4,128.3,25.2,23.3,130909.0,1440000.0,1.15,3.13,42,60,Primary Complete,Cowpea,Never,Good,1,70,0.85,False,651,Male,False,False,False,True,True,11
2092,37.12,23.7,40.2,25.5,24.3,10923.0,142000.0,3.55,0.2,19,46,Secondary Incomplete,Maize,Weekly,Very Good,8,71,0.0,False,697,Male,False,False,True,True,False,13
4514,22.24,19.5,94.6,25.8,21.3,420800.0,4208000.0,4.32,4.87,12,33,Primary Complete,Maize,Weekly,Fair,4,99,0.0,False,593,Female,False,False,True,True,False,10
931,22.41,65.4,51.7,24.7,21.8,242000.0,1210000.0,4.48,1.35,9,25,Secondary Incomplete,Maize,Rarely,Fair,2,0,0.0,False,616,Female,False,False,True,False,False,5
741,28.85,59.3,1.0,24.2,25.6,76667.0,920000.0,1.09,2.11,2,18,Secondary Complete,Cowpea,Never,Fair,1,0,0.0,False,588,Female,False,False,False,False,False,12
484,8.14,39.8,128.9,17.4,36.8,160214.0,2106000.0,8.0,0.94,5,58,Primary Complete,Yam,Never,Poor,1,0,0.0,True,532,Female,False,False,False,False,False,14
2287,24.62,30.9,33.3,30.8,11.3,346571.0,2426000.0,3.15,2.2,4,56,Primary Complete,Rice,Weekly,Fair,2,0,0.0,False,582,Male,True,False,True,False,False,7
149,25.91,15.7,10.5,6.3,20.8,196000.0,1372000.0,1.92,3.97,33,60,No Formal Education,Millet,Never,Fair,1,85,0.86,False,569,Male,False,False,False,True,True,7
801,28.77,27.7,76.5,17.5,27.0,1463000.0,4256000.0,8.89,1.71,29,47,Primary Complete,Yam,Never,Fair,1,82,0.0,True,616,Male,False,False,False,True,False,3
691,36.13,42.4,66.0,26.4,24.6,216500.0,484000.0,3.02,0.8,17,46,OND/NCE,Maize,Never,Fair,1,0,0.0,True,586,Male,False,False,False,False,False,4
865,23.21,28.6,70.5,21.2,23.2,95400.0,954000.0,2.62,1.82,32,65,Primary Incomplete,Maize,Never,Fair,1,89,0.0,False,569,Female,False,False,False,True,False,10
4232,36.53,1.9,16.2,27.4,26.4,540000.0,1080000.0,3.42,1.58,13,29,Primary Complete,Maize,Daily,Good,5,0,0.0,False,639,Male,False,False,True,False,False,2
289,13.89,43.5,37.9,17.7,24.1,121231.0,1576000.0,1.3,3.03,19,35,No Formal Education,Cowpea,Never,Poor,1,0,0.77,False,542,Female,False,False,False,False,True,13
602,25.34,36.1,78.5,34.8,10.7,237000.0,2844000.0,1.22,5.18,12,47,Secondary Incomplete,Groundnut,Never,Poor,1,82,0.71,False,558,Female,False,False,False,True,True,12
4459,43.75,31.2,9.3,8.2,17.0,13818.0,152000.0,1.99,0.4,7,23,Secondary Complete,Sorghum,Rarely,Good,2,66,0.0,False,642,Male,False,False,True,True,False,11
567,16.82,7.7,10.3,25.7,25.3,1178667.0,3536000.0,23.52,0.47,6,33,Secondary Complete,Vegetables,Never,Poor,1,0,0.0,False,551,Male,False,False,False,False,False,3
526,35.95,53.0,12.8,22.2,26.8,32125.0,208000.0,2.0,0.52,12,30,No Formal Education,Maize,Never,Fair,1,0,0.0,True,575,Male,False,False,False,False,False,8
1803,41.25,13.8,69.4,26.2,23.8,116500.0,1398000.0,20.79,0.21,20,36,Primary Incomplete,Vegetables,Weekly,Poor,4,0,0.4,False,498,Male,False,False,True,False,True,12
452,12.27,62.1,61.0,31.7,11.0,383500.0,4515000.0,4.27,3.02,17,33,No Formal Education,Rice,Never,Good,1,65,0.0,True,651,Male,True,False,False,True,False,12
460,13.43,61.7,136.8,25.9,28.0,903400.0,4320000.0,28.13,0.48,39,60,Primary Complete,Vegetables,Never,Poor,1,0,0.51,True,488,Female,True,False,False,False,True,5
948,25.91,66.9,86.7,28.6,26.5,87692.0,975000.0,0.92,0.71,37,53,Primary Complete,Cocoa,Never,Fair,1,64,0.0,True,589,Male,False,False,False,True,False,13
546,10.39,9.1,31.9,23.0,37.0,297455.0,3272000.0,13.05,2.09,2,33,Primary Complete,Cassava,Rarely,Poor,1,63,0.6,False,534,Male,False,False,True,True,True,11
5888,26.83,42.3,99.1,25.0,23.2,106286.0,1488000.0,1.42,2.62,9,64,Primary Complete,Cowpea,Rarely,Good,10,76,0.0,False,650,Male,False,False,True,True,False,14
907,15.17,51.6,77.7,19.9,21.6,61333.0,368000.0,0.62,1.49,5,52,No Formal Education,Beans,Monthly,Poor,2,81,0.0,False,558,Male,False,False,True,True,False,6
912,7.33,23.1,17.8,25.2,21.0,125000.0,186000.0,0.85,0.36,37,53,Secondary Complete,Sesame,Never,Excellent,1,0,0.9,True,708,Female,False,False,False,False,True,4
4223,5.12,51.0,75.3,23.3,21.3,105700.0,812000.0,1.38,1.47,13,29,Secondary Incomplete,Cowpea,Weekly,Excellent,7,0,0.0,True,706,Female,False,False,True,False,False,10
1067,42.14,21.6,67.6,28.4,25.2,196444.0,1768000.0,3.86,2.29,3,60,Primary Complete,Maize,Never,Poor,1,81,0.0,False,531,Male,False,False,False,True,False,9
3080,41.38,38.8,7.9,20.7,19.5,108000.0,972000.0,2.93,1.66,27,43,Primary Complete,Maize,Rarely,Fair,1,0,0.0,False,587,Male,False,False,True,False,False,9
4886,9.69,26.8,58.7,22.4,35.9,1078125.0,8498000.0,13.08,2.32,7,23,Primary Complete,Yam,Weekly,Very Good,4,66,0.0,True,675,Male,False,False,True,True,False,8
977,20.06,35.9,62.4,22.2,26.0,523000.0,1200000.0,1.53,1.96,4,41,Secondary Complete,Beans,Weekly,Excellent,10,0,0.0,True,721,Female,False,False,True,False,False,3
3703,26.97,51.7,26.2,26.2,9.6,342667.0,424000.0,4.83,0.25,21,37,Masters/PhD,Rice,Rarely,Excellent,8,0,0.0,True,709,Male,False,True,True,False,False,3
1068,26.51,17.2,36.3,34.6,8.6,513000.0,1539000.0,1.42,2.41,12,28,Secondary Complete,Groundnut,Never,Fair,1,0,0.0,False,595,Male,False,False,False,False,False,3
926,21.75,13.5,13.1,27.8,38.8,299818.0,3198000.0,14.25,1.87,3,19,No Formal Education,Cassava,Never,Poor,1,0,0.0,True,509,Male,False,False,False,False,False,11
2964,9.58,51.7,80.8,27.7,27.2,2231000.0,17848000.0,15.03,4.75,4,20,Primary Complete,Tomato,Monthly,Fair,4,62,0.0,False,615,Female,False,False,True,True,False,8
564,34.15,59.0,104.7,7.4,17.0,39375.0,315000.0,2.34,0.71,1,17,No Formal Education,Sorghum,Never,Poor,1,0,0.0,False,525,Female,False,False,False,False,False,8
919,25.12,34.0,131.5,7.7,15.7,410143.0,2871000.0,3.41,4.43,20,51,Secondary Complete,Guinea Corn,Weekly,Fair,2,0,0.0,False,604,Male,False,False,True,False,False,7
3820,7.57,5.7,99.3,18.8,26.8,111083.0,1333000.0,11.62,0.41,3,34,Primary Complete,Yam,Never,Poor,1,0,0.0,False,513,Male,False,False,True,False,False,12
125,41.48,20.9,93.1,23.3,28.1,8923.0,116000.0,1.36,0.21,8,24,Secondary Incomplete,Cowpea,Never,Poor,1,79,0.48,False,512,Male,False,False,False,True,True,13
856,17.37,11.8,5.8,24.4,38.1,125000.0,625000.0,17.95,0.29,16,41,Primary Incomplete,Cassava,Never,Good,1,72,0.0,False,624,Female,False,False,False,True,False,5
1092,18.93,19.2,42.7,27.7,21.8,508333.0,4575000.0,4.44,2.06,8,29,Secondary Complete,Oil Palm,Never,Poor,1,0,0.51,False,545,Male,False,True,False,False,True,9
5308,31.13,41.8,48.8,29.6,20.7,125833.0,1510000.0,18.17,0.26,12,35,Secondary Incomplete,Vegetables,Monthly,Fair,7,0,0.0,False,613,Male,True,False,True,False,False,12
1250,20.08,39.2,135.4,8.2,22.4,51500.0,466000.0,2.17,1.13,13,52,OND/NCE,Guinea Corn,Weekly,Fair,1,71,0.0,True,613,Male,False,False,True,True,False,14
752,23.77,67.4,138.5,5.6,22.5,259667.0,604000.0,2.81,1.13,29,59,Primary Complete,Sorghum,Never,Fair,1,0,0.76,True,598,Male,False,False,False,False,True,3
2590,33.89,28.0,57.5,28.4,9.1,58200.0,522000.0,2.75,0.54,5,62,No Formal Education,Rice,Weekly,Fair,1,0,0.0,True,593,Female,False,False,True,False,False,10
602,43.79,33.7,90.2,24.7,23.2,117000.0,526000.0,3.92,0.67,8,24,Secondary Complete,Maize,Weekly,Excellent,9,0,0.0,True,714,Female,False,True,True,False,False,8
297,9.0,58.0,106.5,22.4,20.4,574667.0,1508000.0,3.03,2.49,41,65,Secondary Complete,Maize,Never,Fair,1,0,0.62,True,592,Female,False,False,False,False,True,3
5056,42.86,29.7,44.5,23.8,28.8,165714.0,1160000.0,1.12,2.59,30,65,Primary Incomplete,Cowpea,Monthly,Excellent,9,97,0.0,False,725,Male,False,False,True,True,False,7
381,10.42,4.4,66.3,28.2,31.8,72444.0,652000.0,19.4,0.28,17,51,Secondary Complete,Cassava,Never,Poor,1,0,0.0,False,511,Male,False,False,False,False,False,9
1152,27.35,20.6,138.9,21.9,28.0,1708200.0,17082000.0,27.95,1.91,1,55,Secondary Complete,Vegetables,Never,Poor,1,0,0.0,False,502,Male,False,False,False,False,False,10
5386,27.91,37.9,76.3,24.3,19.3,90455.0,864000.0,3.93,1.1,38,54,Primary Incomplete,Maize,Monthly,Good,1,0,0.0,True,656,Male,False,False,True,False,False,11
970,32.34,1.7,86.3,19.9,28.7,217000.0,868000.0,1.05,2.07,5,43,Secondary Complete,Cowpea,Daily,Fair,2,0,0.0,False,602,Male,False,False,True,False,False,4
267,28.78,18.4,43.8,28.4,25.8,178636.0,1965000.0,30.68,0.2,27,43,Primary Incomplete,Vegetables,Never,Fair,1,82,0.0,False,609,Male,False,False,False,True,False,11
653,12.54,57.0,15.9,8.0,19.9,68429.0,370000.0,2.64,0.74,15,54,No Formal Education,Sorghum,Never,Fair,1,0,0.0,True,616,Female,True,False,False,False,False,7
637,38.81,14.7,58.3,18.3,27.1,87500.0,628000.0,1.32,1.19,9,63,Primary Incomplete,Cowpea,Never,Fair,1,63,0.64,True,609,Male,False,False,False,True,True,8
637,7.13,33.9,12.8,8.4,16.3,50286.0,352000.0,2.13,0.87,16,35,Secondary Incomplete,Sorghum,Never,Fair,1,61,0.0,False,564,Male,False,False,False,True,False,7
675,32.25,11.6,108.8,27.2,21.6,58786.0,464000.0,3.52,0.66,10,26,Secondary Complete,Maize,Never,Fair,1,0,0.0,True,581,Female,False,False,False,False,False,14
295,34.25,21.4,27.2,24.7,35.1,109250.0,874000.0,23.47,0.31,16,58,Primary Incomplete,Cassava,Never,Fair,1,0,0.63,False,600,Male,False,True,False,False,True,8
2039,40.33,63.1,38.9,27.9,26.4,132600.0,1326000.0,1.9,3.49,3,25,No Formal Education,Maize,Monthly,Fair,3,69,0.69,False,563,Male,False,False,True,True,True,10
635,16.34,29.5,76.3,26.3,25.4,65615.0,646000.0,3.26,0.99,41,63,Secondary Complete,Maize,Never,Fair,1,0,0.0,True,593,Female,False,False,False,False,False,13
1131,29.36,20.6,115.8,24.2,27.7,88636.0,308000.0,3.86,0.4,34,57,HND/BSc,Maize,Never,Very Good,1,93,0.0,True,685,Male,True,False,False,True,False,11
4270,43.93,68.7,10.7,29.9,34.2,1122000.0,4418000.0,20.12,1.83,16,32,Primary Incomplete,Cassava,Monthly,Good,3,0,0.0,True,638,Male,False,False,True,False,False,4
922,28.1,52.9,112.9,33.1,41.0,133273.0,1466000.0,19.1,0.64,23,39,Secondary Complete,Cassava,Never,Fair,1,99,0.0,False,608,Male,False,False,False,True,False,11
5854,20.76,68.9,44.0,20.8,31.1,120100.0,1201000.0,13.83,0.31,22,65,Primary Incomplete,Yam,Weekly,Good,4,78,0.0,False,646,Female,False,False,True,True,False,10
1194,10.41,61.7,15.3,22.7,39.9,119917.0,1439000.0,16.2,0.74,3,19,Secondary Incomplete,Cassava,Never,Poor,1,0,0.0,False,510,Female,False,False,False,False,False,12
2346,20.38,12.2,13.4,20.3,29.9,326000.0,804000.0,9.56,0.3,5,22,Primary Complete,Yam,Daily,Fair,1,0,0.0,True,601,Female,False,False,True,False,False,3
1945,27.53,47.7,107.6,20.4,22.0,275200.0,1312000.0,1.23,2.67,26,47,No Formal Education,Cowpea,Monthly,Poor,1,0,0.0,True,525,Male,False,False,True,False,False,5
5617,39.13,33.7,52.3,28.0,22.0,387500.0,2325000.0,0.86,1.8,19,35,Secondary Incomplete,Cocoa,Never,Fair,1,0,0.0,False,560,Female,False,False,True,False,False,6
4317,32.09,31.4,113.0,22.3,23.5,53818.0,212000.0,1.32,0.4,1,16,HND/BSc,Cowpea,Weekly,Good,6,0,0.0,True,658,Male,False,False,True,False,False,11
4233,34.17,1.0,31.7,26.1,20.4,55000.0,660000.0,1.11,0.4,18,55,Secondary Complete,Cocoa,Monthly,Very Good,9,0,0.67,False,694,Male,False,False,True,False,True,12
4054,28.42,13.3,30.2,30.1,10.7,1296000.0,5184000.0,4.23,3.5,7,23,No Formal Education,Rice,Rarely,Fair,8,0,0.0,False,561,Male,False,False,True,False,False,4
1082,25.01,2.4,58.3,23.8,25.1,83692.0,1088000.0,3.28,1.66,11,46,No Formal Education,Maize,Monthly,Fair,9,0,0.0,False,571,Female,False,False,True,False,False,13
585,43.08,34.3,81.7,24.2,26.1,59143.0,828000.0,2.45,1.69,41,61,No Formal Education,Maize,Never,Very Poor,1,0,0.45,False,447,Male,False,False,False,False,True,14
4853,6.08,11.7,13.7,25.3,25.9,208000.0,832000.0,1.99,2.09,6,22,Primary Complete,Maize,Never,Good,1,62,0.0,False,623,Male,False,False,True,True,False,4
487,39.05,14.6,38.8,7.1,18.0,46500.0,186000.0,2.96,0.33,20,61,Primary Complete,Sorghum,Never,Poor,1,0,0.0,False,527,Female,False,False,False,False,False,4
4968,17.72,59.7,136.1,28.0,28.6,86250.0,1035000.0,0.79,0.87,21,60,No Formal Education,Cocoa,Daily,Fair,9,0,0.0,False,612,Male,False,False,True,False,False,12
880,20.76,57.7,27.0,21.5,20.7,33833.0,406000.0,2.94,0.69,7,50,No Formal Education,Maize,Never,Fair,1,73,0.0,False,615,Male,False,False,False,True,False,12
340,13.58,27.6,19.0,7.1,15.6,36429.0,128000.0,2.21,0.32,11,63,Primary Complete,Millet,Never,Good,1,92,0.0,True,648,Male,False,False,False,True,False,7
2119,15.9,59.3,128.9,24.4,24.6,78111.0,432000.0,1.04,0.69,25,41,Secondary Incomplete,Sesame,Monthly,Excellent,7,0,0.0,True,736,Male,False,True,True,False,False,9
626,28.1,61.0,26.1,23.6,31.2,1508600.0,15086000.0,16.18,3.33,19,35,Secondary Incomplete,Yam,Never,Fair,1,0,0.0,False,561,Male,False,False,False,False,False,10
787,5.16,19.8,67.7,27.1,10.0,620000.0,1743000.0,5.6,0.89,16,32,Primary Complete,Rice,Never,Fair,1,87,0.68,True,600,Male,False,False,False,True,True,3
5468,28.17,36.9,77.6,24.4,25.1,74769.0,972000.0,0.78,3.12,7,23,No Formal Education,Cowpea,Monthly,Fair,3,87,0.0,False,609,Female,False,True,True,True,False,13
2465,16.49,7.9,112.2,20.5,19.3,68000.0,340000.0,1.84,0.46,27,64,Secondary Complete,Cowpea,Monthly,Fair,2,0,0.0,False,566,Male,False,False,True,False,False,5
5256,21.09,61.3,16.7,24.6,21.0,115273.0,1148000.0,1.12,2.56,23,48,Primary Complete,Cowpea,Monthly,Excellent,10,0,0.0,True,702,Male,False,True,True,False,False,11
5877,25.24,14.6,54.1,24.8,20.7,22222.0,200000.0,4.02,0.1,1,16,No Formal Education,Oil Palm,Never,Poor,1,80,0.0,False,525,Male,False,False,True,True,False,9
4663,27.22,37.6,36.5,30.2,33.6,29750.0,238000.0,14.17,0.14,32,48,Primary Complete,Cassava,Weekly,Fair,5,0,0.63,False,607,Female,False,False,True,False,True,8
1155,19.25,54.4,75.3,26.0,21.3,60000.0,140000.0,0.78,0.45,8,24,Primary Incomplete,Cowpea,Never,Fair,1,0,0.0,True,567,Male,False,False,False,False,False,4
4663,8.01,14.9,77.0,21.6,28.6,472500.0,3676000.0,7.59,1.73,1,54,No Formal Education,Yam,Rarely,Poor,4,0,0.0,True,543,Female,False,False,True,False,False,8
948,9.63,48.7,150.0,6.4,21.7,307750.0,1231000.0,2.13,3.04,9,25,Secondary Complete,Guinea Corn,Never,Poor,1,0,0.0,False,539,Male,False,False,False,False,False,4
648,21.84,19.0,82.1,24.1,28.8,42857.0,300000.0,3.75,0.4,17,42,Primary Complete,Maize,Never,Fair,1,0,0.0,False,569,Male,False,False,False,False,False,7
2850,8.23,63.9,56.5,20.9,23.6,693000.0,3465000.0,5.46,1.27,5,53,Primary Complete,Oil Palm,Rarely,Fair,3,81,0.0,False,584,Male,False,False,True,True,False,5
734,39.69,57.8,98.5,22.7,35.8,25182.0,277000.0,9.92,0.1,9,27,Primary Complete,Yam,Monthly,Fair,8,0,0.56,False,588,Male,False,False,True,False,True,11
910,43.57,11.3,63.3,16.6,36.9,317667.0,862000.0,10.27,0.3,8,53,Primary Complete,Yam,Never,Fair,1,0,0.0,True,580,Female,False,False,False,False,False,3
1656,21.94,1.2,71.9,21.4,22.7,247800.0,2112000.0,2.52,4.19,19,38,Secondary Complete,Maize,Weekly,Excellent,6,0,0.0,True,716,Female,False,False,True,False,False,10
2573,40.52,19.2,38.0,26.0,35.7,840000.0,2520000.0,15.79,1.33,28,44,Primary Complete,Cassava,Rarely,Fair,3,0,0.0,False,563,Female,False,False,True,False,False,3
1583,44.03,38.9,124.0,23.2,28.1,131000.0,1572000.0,1.17,2.24,31,50,Primary Complete,Sesame,Weekly,Poor,5,89,0.0,False,557,Male,False,False,True,True,False,12
5741,27.97,65.5,37.2,25.0,28.2,326857.0,2288000.0,1.59,3.6,1,55,Secondary Complete,Beans,Weekly,Good,8,85,0.0,False,648,Male,False,False,True,True,False,7
2111,13.38,52.0,28.6,31.7,10.2,30714.0,256000.0,1.39,0.41,20,36,Secondary Incomplete,Groundnut,Weekly,Good,6,0,0.0,True,629,Male,False,False,True,False,False,14
845,25.94,61.2,45.8,28.1,20.7,280250.0,1121000.0,1.63,1.81,17,57,No Formal Education,Soybean,Monthly,Fair,7,61,0.0,False,599,Female,False,False,True,True,False,4
877,39.18,12.3,29.6,6.4,17.9,25571.0,179000.0,2.35,0.4,1,35,Secondary Complete,Guinea Corn,Monthly,Fair,6,0,0.0,False,603,Male,False,False,True,False,False,7
2351,21.68,65.5,12.9,23.3,27.8,158333.0,1260000.0,18.0,0.25,41,57,Primary Complete,Yam,Rarely,Good,5,0,0.0,True,639,Male,False,False,True,False,False,9
643,14.43,48.8,89.4,27.0,20.4,227500.0,1365000.0,0.9,1.01,12,59,Primary Complete,Cocoa,Never,Good,1,97,0.0,False,651,Male,False,False,False,True,False,6
3935,34.63,56.5,90.2,20.7,22.1,277333.0,2430000.0,0.99,1.64,11,29,No Formal Education,Cocoa,Rarely,Good,4,0,0.0,True,640,Male,False,False,True,False,False,9
1471,16.64,67.4,117.1,6.6,22.0,32111.0,205000.0,2.4,0.45,5,50,No Formal Education,Sorghum,Weekly,Fair,3,95,0.56,True,609,Male,False,False,True,True,True,9
721,12.53,7.0,112.7,25.7,23.3,22000.0,66000.0,3.34,0.1,16,54,Secondary Complete,Maize,Never,Fair,1,0,0.0,False,563,Female,False,False,False,False,False,3
5826,6.13,41.0,75.7,28.9,31.0,83000.0,332000.0,16.31,0.17,29,59,Primary Complete,Cassava,Rarely,Fair,6,65,0.0,False,591,Female,False,False,True,True,False,4
584,16.76,45.0,73.0,25.7,10.5,112214.0,1502000.0,3.7,1.16,6,22,No Formal Education,Rice,Never,Fair,1,0,0.0,True,566,Female,False,False,False,False,False,14
1106,39.98,7.9,49.9,28.4,25.1,22375.0,179000.0,1.51,0.31,23,56,Primary Incomplete,Soybean,Never,Poor,1,0,0.0,False,536,Female,False,False,False,False,False,8
2790,25.92,68.6,51.5,22.7,29.3,625333.0,1876000.0,2.18,1.23,10,39,Primary Complete,Rubber,Rarely,Fair,3,0,0.0,False,595,Male,False,False,True,False,False,3
4037,23.43,33.8,117.7,22.9,25.0,40778.0,367000.0,13.14,0.1,21,57,No Formal Education,Yam,Monthly,Poor,7,0,0.0,False,549,Male,False,False,True,False,False,9
1147,23.58,58.2,112.2,27.5,25.0,63833.0,273000.0,1.88,0.21,12,34,Primary Incomplete,Rubber,Never,Fair,1,96,0.6,True,582,Female,False,False,False,True,True,6
5751,9.35,57.1,97.7,20.1,21.0,89643.0,1092000.0,2.0,0.78,5,21,Secondary Incomplete,Rubber,Rarely,Excellent,8,0,0.85,True,715,Male,False,True,True,False,True,14
5044,19.89,2.2,82.9,24.1,22.1,33273.0,366000.0,3.32,0.55,5,21,OND/NCE,Maize,Daily,Very Good,4,98,0.0,False,667,Male,False,False,True,True,False,11
5478,42.16,19.6,41.7,24.3,39.6,117667.0,1218000.0,19.91,0.51,8,32,Secondary Incomplete,Cassava,Monthly,Very Good,8,89,0.0,True,672,Male,False,False,True,True,False,12
591,17.03,42.1,42.5,17.7,26.2,93429.0,576000.0,1.37,1.05,21,37,No Formal Education,Beans,Weekly,Good,1,0,0.0,True,623,Male,False,False,True,False,False,7
1127,12.16,57.1,146.9,23.8,27.2,179000.0,214000.0,2.6,0.41,10,26,HND/BSc,Maize,Never,Good,1,76,0.0,True,642,Male,False,False,False,True,False,4
5297,44.81,11.9,87.8,7.0,16.5,90417.0,1085000.0,1.97,2.9,36,52,Secondary Complete,Sorghum,Weekly,Fair,10,0,0.0,False,577,Male,False,False,True,False,False,12
1016,18.95,20.8,66.8,28.5,25.1,76500.0,918000.0,3.19,1.44,27,43,Secondary Complete,Maize,Monthly,Good,8,70,0.0,False,633,Male,False,False,True,True,False,12
3853,11.96,11.1,3.2,29.1,41.9,536750.0,2147000.0,13.87,1.29,3,32,No Formal Education,Cassava,Monthly,Poor,5,0,0.56,False,543,Male,False,False,True,False,True,4
1566,42.69,24.4,23.2,23.7,26.3,214200.0,936000.0,1.27,1.84,19,35,Primary Complete,Cowpea,Monthly,Good,1,0,0.0,True,647,Male,False,False,True,False,False,5
4980,34.98,36.3,1.4,22.8,28.0,452286.0,2964000.0,5.22,2.84,19,52,Secondary Incomplete,Maize,Weekly,Excellent,2,67,0.0,True,738,Male,False,False,True,True,False,7
798,6.03,28.2,50.9,21.0,33.8,68667.0,602000.0,11.93,0.18,13,45,Secondary Complete,Yam,Never,Fair,1,0,0.0,True,562,Male,False,False,False,False,False,12
4654,36.17,48.9,75.2,21.7,21.0,23200.0,116000.0,1.08,0.27,9,25,Primary Incomplete,Cowpea,Weekly,Poor,6,0,0.43,False,505,Male,False,False,True,False,True,5
393,38.97,26.1,106.1,23.5,10.8,68600.0,343000.0,3.17,0.31,27,43,No Formal Education,Rice,Never,Poor,1,66,0.0,False,533,Male,False,False,False,True,False,5
4651,18.2,50.4,61.8,19.2,34.8,133200.0,666000.0,7.44,0.32,3,41,No Formal Education,Yam,Weekly,Poor,4,98,0.59,False,514,Male,False,False,True,True,True,5
975,10.53,47.5,61.9,32.9,7.2,398571.0,2691000.0,1.63,3.67,33,51,Primary Complete,Groundnut,Never,Very Good,1,90,0.0,True,661,Male,False,False,False,True,False,7
927,7.78,45.7,40.9,6.4,18.0,88750.0,253000.0,2.84,0.47,19,64,Primary Complete,Sorghum,Never,Poor,1,0,0.0,True,527,Male,False,False,False,False,False,4
850,22.27,68.9,110.1,5.7,22.3,725000.0,488000.0,1.85,1.39,8,24,Secondary Incomplete,Sorghum,Never,Fair,1,0,0.0,True,599,Male,False,False,False,False,False,1
288,41.31,24.3,143.0,7.1,21.8,194300.0,1845000.0,1.64,5.92,38,61,No Formal Education,Sorghum,Never,Fair,1,0,0.0,True,568,Female,False,False,False,False,False,10
1605,14.82,52.8,15.2,25.4,38.0,564000.0,3948000.0,18.28,1.8,23,39,Secondary Incomplete,Cassava,Daily,Good,10,65,0.0,False,635,Male,False,False,True,True,False,7
2335,36.17,66.6,52.7,7.7,21.8,122200.0,395000.0,2.12,0.98,34,61,Secondary Complete,Sorghum,Monthly,Very Good,10,92,0.0,True,660,Male,False,False,True,True,False,5
1011,23.89,8.3,141.3,17.2,25.9,91769.0,1193000.0,13.32,0.32,17,65,Secondary Complete,Yam,Never,Fair,1,93,0.0,False,576,Female,False,False,False,True,False,13
2968,35.31,17.8,9.8,21.7,27.7,136444.0,1228000.0,16.41,0.34,11,58,Secondary Complete,Plantain,Monthly,Good,5,0,0.0,False,636,Male,False,False,True,False,False,9
